scenario_id,sheet,trailer_id,trailer_name,variant,length,width,height,section_excel,section_mes,excel_total,mes_total,variance_pct,status,reason,likely_cause,accepted_reason
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,FRONT,FRONT,2103.338848,2108.9,0.264,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,SRD,,0.0,,,SKIP,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,DRD,DRD,2847.785049,2727.83,4.212,ACCEPTED,,GROUP_DIFF 130*62MM TAPPING BLOCKS ~ 1 MES line(s) (-120.00),"[DATA] 130*62MM TAPPING BLOCKS: Excel 2 x R234 per size (R936 a double door) vs MES 6 x R68 per size (R816): R60 per size, 1-3 % of the door section."
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,DRD DOOR FITTINGS,DRD DOOR FITTINGS,4799.12194,4799.12,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,SIDES,SIDES,4671.830585,4658.2,0.292,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,ROOF,ROOF,2647.321166,2632.68,0.553,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,FLOOR,FLOOR,5011.562192,5011.56,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,ALUMINIUM,ALUMINIUM,3540.816,3540.82,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,SUB FRAME + LIGHT BOX ASSY,SUB FRAME + LIGHT BOX ASSY,3082.148426,2925.6,5.079,ACCEPTED,,MISSING_IN_MES 1MM GALV PLATE (-156.55),[DATA] Excel line 1MM GALV PLATE (R157-R240) has no MES line on this body.
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,REAR FRAME + FLOOR PLATE,REAR FRAME & FLOOR PLATE,2447.54552,2447.57,0.001,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,SPRAY PAINTING,SPRAY PAINTING,750.0,750.0,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,FRONT,FRONT,2103.338848,2108.9,0.264,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,SRD,,0.0,,,SKIP,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,DRD,DRD,2847.785049,2727.83,4.212,ACCEPTED,,GROUP_DIFF 130*62MM TAPPING BLOCKS ~ 1 MES line(s) (-120.00),"[DATA] 130*62MM TAPPING BLOCKS: Excel 2 x R234 per size (R936 a double door) vs MES 6 x R68 per size (R816): R60 per size, 1-3 % of the door section."
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,DRD DOOR FITTINGS,DRD DOOR FITTINGS,4799.12194,4799.12,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,SIDES,SIDES,4671.830585,4658.2,0.292,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,ROOF,ROOF,2647.321166,2632.68,0.553,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,FLOOR,FLOOR,5011.562192,5011.56,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,ALUMINIUM,ALUMINIUM,3540.816,3540.82,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,SUB FRAME + LIGHT BOX ASSY,SUB FRAME + LIGHT BOX ASSY,3082.148426,2925.6,5.079,ACCEPTED,,MISSING_IN_MES 1MM GALV PLATE (-156.55),[DATA] Excel line 1MM GALV PLATE (R157-R240) has no MES line on this body.
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,REAR FRAME + FLOOR PLATE,REAR FRAME & FLOOR PLATE,2447.54552,2447.57,0.001,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,SPRAY PAINTING,SPRAY PAINTING,750.0,750.0,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_pu,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_pu,1.8,1.8,1.8,FRONT,FRONT,2325.74899,1750.83,24.72,ACCEPTED,,QTY_DIFF PU (-551.31) [ZERO_FORMULA],"[MES] chiller PU insulation lines carry a literal x0 quantity formula (2.44*1.22*0*2, 1.22*2.44*0*(length+{Waste})/1.22): PU prices at R0 on FRONT/SIDES/ROOF/FLOOR (ZERO_FORMULA); the icecream/freezer bodies use {PANEL PU} tokens and price live. SIDES/ROOF/FLOOR skins also hard-code both roof and floor deductions where Burt's cells deduct only the roof under PU."
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_pu,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_pu,1.8,1.8,1.8,SRD,,0.0,,,SKIP,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_pu,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_pu,1.8,1.8,1.8,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_pu,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_pu,1.8,1.8,1.8,DRD,DRD,3484.659832,14586.54,318.593,ACCEPTED,,PRICE_DIFF PU (+11653.57),[MES] DRD PU line priced at the raw 32D rate (R4 100 x 2.98 sheets) instead of the per-sheet price Burt uses (R185.20/sheet): MES DRD +R11.6k (2.3 chiller) / +R23.3k (4.9 chiller) under PU.
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_pu,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_pu,1.8,1.8,1.8,DRD DOOR FITTINGS,DRD DOOR FITTINGS,4862.51126,4862.51,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_pu,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_pu,1.8,1.8,1.8,SIDES,SIDES,5070.237439,3804.02,24.974,ACCEPTED,,BOTH PU (-1102.61) [ZERO_FORMULA],"[MES] chiller PU insulation lines carry a literal x0 quantity formula (2.44*1.22*0*2, 1.22*2.44*0*(length+{Waste})/1.22): PU prices at R0 on FRONT/SIDES/ROOF/FLOOR (ZERO_FORMULA); the icecream/freezer bodies use {PANEL PU} tokens and price live. SIDES/ROOF/FLOOR skins also hard-code both roof and floor deductions where Burt's cells deduct only the roof under PU."
