scenario_id,sheet,trailer_id,trailer_name,variant,length,width,height,section_excel,section_mes,excel_total,mes_total,variance_pct,status,reason,likely_cause,accepted_reason
EXPLOSIVE_UP_TO_2.7~L1.8~W1.2~H1.6~as_sheet,EXPLOSIVE UP TO 2.7,34,EXPLOSIVE UP TO 2.7,as_sheet,1.8,1.2,1.6,FRONT,FRONT,3643.15819,3643.14,0.0,PASS,,,
EXPLOSIVE_UP_TO_2.7~L1.8~W1.2~H1.6~as_sheet,EXPLOSIVE UP TO 2.7,34,EXPLOSIVE UP TO 2.7,as_sheet,1.8,1.2,1.6,SRD,,0.0,,,SKIP,,,
EXPLOSIVE_UP_TO_2.7~L1.8~W1.2~H1.6~as_sheet,EXPLOSIVE UP TO 2.7,34,EXPLOSIVE UP TO 2.7,as_sheet,1.8,1.2,1.6,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
EXPLOSIVE_UP_TO_2.7~L1.8~W1.2~H1.6~as_sheet,EXPLOSIVE UP TO 2.7,34,EXPLOSIVE UP TO 2.7,as_sheet,1.8,1.2,1.6,DRD,DRD,5227.411821,5027.45,3.825,ACCEPTED,,GROUP_DIFF 130*62MM TAPPING BLOCKS ~ 2 MES line(s) (-200.00),"[DATA] 130*62MM TAPPING BLOCKS: Excel 2 x R234 per size (R936 a double door) vs MES 6 x R68 per size (R816): R60 per size, 1-3 % of the door section."
EXPLOSIVE_UP_TO_2.7~L1.8~W1.2~H1.6~as_sheet,EXPLOSIVE UP TO 2.7,34,EXPLOSIVE UP TO 2.7,as_sheet,1.8,1.2,1.6,DRD DOOR FITTINGS,DRD DOOR FITTINGS,4076.53113,4076.53,0.0,PASS,,,
EXPLOSIVE_UP_TO_2.7~L1.8~W1.2~H1.6~as_sheet,EXPLOSIVE UP TO 2.7,34,EXPLOSIVE UP TO 2.7,as_sheet,1.8,1.2,1.6,SIDES,SIDES,9675.046154,9675.16,0.001,PASS,,,
EXPLOSIVE_UP_TO_2.7~L1.8~W1.2~H1.6~as_sheet,EXPLOSIVE UP TO 2.7,34,EXPLOSIVE UP TO 2.7,as_sheet,1.8,1.2,1.6,ROOF,ROOF,3148.497037,3148.47,0.001,PASS,,,
EXPLOSIVE_UP_TO_2.7~L1.8~W1.2~H1.6~as_sheet,EXPLOSIVE UP TO 2.7,34,EXPLOSIVE UP TO 2.7,as_sheet,1.8,1.2,1.6,FLOOR,FLOOR,12804.40734,12804.4,0.0,PASS,,,
EXPLOSIVE_UP_TO_2.7~L1.8~W1.2~H1.6~as_sheet,EXPLOSIVE UP TO 2.7,34,EXPLOSIVE UP TO 2.7,as_sheet,1.8,1.2,1.6,ALUMINIUM,ALUMINIUM,3785.508,3810.1,0.65,PASS,,,
EXPLOSIVE_UP_TO_2.7~L1.8~W1.2~H1.6~as_sheet,EXPLOSIVE UP TO 2.7,34,EXPLOSIVE UP TO 2.7,as_sheet,1.8,1.2,1.6,SUB FRAME + LIGHT BOX ASSY,SUB FRAME + LIGHT BOX ASSY,3036.955218,2880.4,5.155,ACCEPTED,,MISSING_IN_MES 1MM GALV PLATE (-156.55),"[DATA] Burt's 1MM GALV PLATE line (R157-R240): missing from the MES BOM on CHILLER 2.3, CHILLER LARGE, FREEZER MEDIUM and the explosive bodies; CHILLER MEDIUM carries 1.2MM GALV PLATE at R449.52 (or, since 26 Sep on dev, a 1MM line at another price)."
