scenario_id,sheet,trailer_id,trailer_name,variant,length,width,height,section_excel,section_mes,excel_total,mes_total,variance_pct,status,reason,likely_cause,accepted_reason
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,FRONT,FRONT,2701.525496,2706.23,0.174,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,SRD,,0.0,,,SKIP,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,DRD,DRD,3459.515039,3339.54,3.468,ACCEPTED,,GROUP_DIFF 130*62MM TAPPING BLOCKS ~ 2 MES line(s) (-120.00),"[DATA] 130*62MM TAPPING BLOCKS: Excel 2 x R234 per size (R936 a double door) vs MES 6 x R68 per size (R816): R60 per size, 1-3 % of the door section."
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,DRD DOOR FITTINGS,DRD DOOR FITTINGS,4400.99804,4401.0,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,SIDES,SIDES,5131.015099,5131.07,0.001,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,ROOF,ROOF,2413.504803,2399.35,0.586,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,FLOOR,FLOOR,4854.948819,4854.95,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,ALUMINIUM,ALUMINIUM,3327.4538,3327.45,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,SUB FRAME + LIGHT BOX ASSY,SUB FRAME + LIGHT BOX ASSY,2806.306579,2806.31,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,REAR FRAME + FLOOR PLATE,REAR FRAME & FLOOR PLATE,2249.351114,2312.6,2.812,ACCEPTED,,PRICE_DIFF 3MM 3CR12 FLOOR PLATE (+63.25),"[DATA] 3MM 3CR12 FLOOR PLATE priced R1 040.16 in MES vs R965.76 on Burt's sheet (+R59-R63, 2-3 % of the section)."
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,SPRAY PAINTING,SPRAY PAINTING,750.0,750.0,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,FRONT,FRONT,1238.512605,1508.06,,UNVERIFIABLE,EXCEL_NO_PRICE:EPS,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,SRD,,0.0,,,SKIP,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,DRD,DRD,1996.502149,2319.63,,UNVERIFIABLE,EXCEL_NO_PRICE:EPS,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,DRD DOOR FITTINGS,DRD DOOR FITTINGS,4400.99804,4401.0,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,SIDES,SIDES,2912.511945,2912.57,,UNVERIFIABLE,EXCEL_NO_PRICE:EPS,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,ROOF,ROOF,2413.504803,2399.35,0.586,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,FLOOR,FLOOR,4854.948819,4854.95,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,ALUMINIUM,ALUMINIUM,3327.4538,3327.45,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,SUB FRAME + LIGHT BOX ASSY,SUB FRAME + LIGHT BOX ASSY,2806.306579,2806.31,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,REAR FRAME + FLOOR PLATE,REAR FRAME & FLOOR PLATE,2249.351114,2312.6,2.812,ACCEPTED,,PRICE_DIFF 3MM 3CR12 FLOOR PLATE (+63.25),"[DATA] 3MM 3CR12 FLOOR PLATE priced R1 040.16 in MES vs R965.76 on Burt's sheet (+R59-R63, 2-3 % of the section)."
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,SPRAY PAINTING,SPRAY PAINTING,750.0,750.0,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,FRONT,FRONT,2767.521005,2772.34,0.174,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,SRD,,0.0,,,SKIP,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,DRD,DRD,3522.091253,3402.12,3.406,ACCEPTED,,GROUP_DIFF 130*62MM TAPPING BLOCKS ~ 2 MES line(s) (-120.00),"[DATA] 130*62MM TAPPING BLOCKS: Excel 2 x R234 per size (R936 a double door) vs MES 6 x R68 per size (R816): R60 per size, 1-3 % of the door section."
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,DRD DOOR FITTINGS,DRD DOOR FITTINGS,4464.38736,4464.39,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,SIDES,SIDES,5275.324551,5269.72,0.106,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,ROOF,ROOF,3317.48652,1898.28,42.78,ACCEPTED,,BOTH PU (-1405.05) [ZERO_FORMULA],"[MES] FREEZER 2.3 METER ROOF/FLOOR PU lines carry a literal x0 quantity formula (1.22*2.44*0*(length+{Waste})/1.22): PU prices at R0 (ZERO_FORMULA), -R1.4k to -R1.8k per panel."
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,FLOOR,FLOOR,5758.930537,4353.88,24.398,ACCEPTED,,BOTH PU (-1405.05) [ZERO_FORMULA],"[MES] FREEZER 2.3 METER ROOF/FLOOR PU lines carry a literal x0 quantity formula (1.22*2.44*0*(length+{Waste})/1.22): PU prices at R0 (ZERO_FORMULA), -R1.4k to -R1.8k per panel."
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,ALUMINIUM,ALUMINIUM,3327.4538,3327.45,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,SUB FRAME + LIGHT BOX ASSY,SUB FRAME + LIGHT BOX ASSY,2806.306579,2806.31,0.0,PASS,,,
