scenario_id,sheet,trailer_id,trailer_name,variant,length,width,height,section_excel,section_mes,excel_total,mes_total,variance_pct,status,reason,likely_cause,accepted_reason
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,FRONT,FRONT,2103.338848,2108.9,0.264,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,SRD,,0.0,,,SKIP,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,DRD,DRD,2847.785049,2847.76,0.001,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,DRD DOOR FITTINGS,DRD DOOR FITTINGS,4799.12194,4799.12,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,SIDES,SIDES,4671.830585,4671.78,0.001,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,ROOF,ROOF,2647.321166,2647.3,0.001,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,FLOOR,FLOOR,5011.562192,5011.56,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,ALUMINIUM,ALUMINIUM,3540.816,3540.82,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,SUB FRAME + LIGHT BOX ASSY,SUB FRAME + LIGHT BOX ASSY,3082.148426,3082.15,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,REAR FRAME + FLOOR PLATE,REAR FRAME & FLOOR PLATE,2447.54552,2447.57,0.001,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~as_sheet,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,as_sheet,1.8,1.8,1.8,SPRAY PAINTING,SPRAY PAINTING,750.0,750.0,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,FRONT,FRONT,2103.338848,2108.9,0.264,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,SRD,,0.0,,,SKIP,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,DRD,DRD,2847.785049,2847.76,0.001,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,DRD DOOR FITTINGS,DRD DOOR FITTINGS,4799.12194,4799.12,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,SIDES,SIDES,4671.830585,4671.78,0.001,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,ROOF,ROOF,2647.321166,2647.3,0.001,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,FLOOR,FLOOR,5011.562192,5011.56,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,ALUMINIUM,ALUMINIUM,3540.816,3540.82,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,SUB FRAME + LIGHT BOX ASSY,SUB FRAME + LIGHT BOX ASSY,3082.148426,3082.15,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,REAR FRAME + FLOOR PLATE,REAR FRAME & FLOOR PLATE,2447.54552,2447.57,0.001,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_eps,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_eps,1.8,1.8,1.8,SPRAY PAINTING,SPRAY PAINTING,750.0,750.0,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_pu,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_pu,1.8,1.8,1.8,FRONT,FRONT,2325.74899,2746.57,18.094,ACCEPTED,,PRICE_DIFF PU (+444.43),[RULING] PROD prices chiller PU at R334.50/sheet (the September 32D rate) where Burt's chiller sheets hard-code a 2018 rate (3090 -> R185.20/sheet): MES +R890 (front) to +R4k (sides) per PU panel. Prod is likely the current one; Burt's sheets need the [1]PU! link.
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_pu,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_pu,1.8,1.8,1.8,SRD,,0.0,,,SKIP,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_pu,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_pu,1.8,1.8,1.8,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_pu,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_pu,1.8,1.8,1.8,DRD,DRD,3484.659832,3962.82,13.722,ACCEPTED,,MISSING_IN_MES 130*62MM TAPPING BLOCKS (-936.00),[RULING] PROD prices chiller PU at R334.50/sheet (the September 32D rate) where Burt's chiller sheets hard-code a 2018 rate (3090 -> R185.20/sheet): MES +R890 (front) to +R4k (sides) per PU panel. Prod is likely the current one; Burt's sheets need the [1]PU! link.
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_pu,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_pu,1.8,1.8,1.8,DRD DOOR FITTINGS,DRD DOOR FITTINGS,4862.51126,4862.51,0.0,PASS,,,
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_pu,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_pu,1.8,1.8,1.8,SIDES,SIDES,5070.237439,6025.44,18.839,ACCEPTED,,PRICE_DIFF PU (+955.25),[RULING] PROD prices chiller PU at R334.50/sheet (the September 32D rate) where Burt's chiller sheets hard-code a 2018 rate (3090 -> R185.20/sheet): MES +R890 (front) to +R4k (sides) per PU panel. Prod is likely the current one; Burt's sheets need the [1]PU! link.
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_pu,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_pu,1.8,1.8,1.8,ROOF,ROOF,2809.815597,3771.03,34.209,ACCEPTED,,PRICE_DIFF PU (+961.25),[RULING] PROD prices chiller PU at R334.50/sheet (the September 32D rate) where Burt's chiller sheets hard-code a 2018 rate (3090 -> R185.20/sheet): MES +R890 (front) to +R4k (sides) per PU panel. Prod is likely the current one; Burt's sheets need the [1]PU! link.
UP_TO_2.3_CHILLER_BODY~L1.8~W1.8~H1.8~all_pu,UP TO 2.3 CHILLER BODY,25,CHILLER 2.3 METER,all_pu,1.8,1.8,1.8,FLOOR,FLOOR,5174.056623,6135.3,18.578,ACCEPTED,,PRICE_DIFF PU (+961.25),[RULING] PROD prices chiller PU at R334.50/sheet (the September 32D rate) where Burt's chiller sheets hard-code a 2018 rate (3090 -> R185.20/sheet): MES +R890 (front) to +R4k (sides) per PU panel. Prod is likely the current one; Burt's sheets need the [1]PU! link.
