scenario_id,sheet,trailer_id,trailer_name,variant,length,width,height,section_excel,section_mes,excel_total,mes_total,variance_pct,status,reason,likely_cause,accepted_reason
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,FRONT,FRONT,2701.525496,2701.51,0.001,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,SRD,,0.0,,,SKIP,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,DRD,DRD,3459.515039,3459.5,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,DRD DOOR FITTINGS,DRD DOOR FITTINGS,4400.99804,4401.0,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,SIDES,SIDES,5131.015099,5130.98,0.001,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,ROOF,ROOF,2413.504803,2413.48,0.001,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,FLOOR,FLOOR,4854.948819,4854.95,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,ALUMINIUM,ALUMINIUM,3327.4538,3327.45,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,SUB FRAME + LIGHT BOX ASSY,SUB FRAME + LIGHT BOX ASSY,2806.306579,2806.31,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,REAR FRAME + FLOOR PLATE,REAR FRAME & FLOOR PLATE,2249.351114,2312.6,2.812,ACCEPTED,,PRICE_DIFF 3MM 3CR12 FLOOR PLATE (+63.25),"[DATA] 3MM 3CR12 FLOOR PLATE priced R1 040.16 on prod vs R965.76 on Burt's sheet (+R63, 2.8 % of the section) on FREEZER 2.3 METER."
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~as_sheet"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,as_sheet,1.8,1.68,1.39,SPRAY PAINTING,SPRAY PAINTING,750.0,750.0,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,FRONT,FRONT,1238.512605,1503.35,,UNVERIFIABLE,EXCEL_NO_PRICE:EPS,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,SRD,,0.0,,,SKIP,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,DRD,DRD,1996.502149,2439.59,,UNVERIFIABLE,EXCEL_NO_PRICE:EPS,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,DRD DOOR FITTINGS,DRD DOOR FITTINGS,4400.99804,4401.0,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,SIDES,SIDES,2912.511945,2912.47,,UNVERIFIABLE,EXCEL_NO_PRICE:EPS,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,ROOF,ROOF,2413.504803,2413.48,0.001,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,FLOOR,FLOOR,4854.948819,4854.95,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,ALUMINIUM,ALUMINIUM,3327.4538,3327.45,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,SUB FRAME + LIGHT BOX ASSY,SUB FRAME + LIGHT BOX ASSY,2806.306579,2806.31,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,REAR FRAME + FLOOR PLATE,REAR FRAME & FLOOR PLATE,2249.351114,2312.6,2.812,ACCEPTED,,PRICE_DIFF 3MM 3CR12 FLOOR PLATE (+63.25),"[DATA] 3MM 3CR12 FLOOR PLATE priced R1 040.16 on prod vs R965.76 on Burt's sheet (+R63, 2.8 % of the section) on FREEZER 2.3 METER."
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_eps"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_eps,1.8,1.68,1.39,SPRAY PAINTING,SPRAY PAINTING,750.0,750.0,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,FRONT,FRONT,2767.521005,2767.51,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,SRD,,0.0,,,SKIP,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,DRD,DRD,3522.091253,3522.08,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,DRD DOOR FITTINGS,DRD DOOR FITTINGS,4464.38736,4464.39,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,SIDES,SIDES,5275.324551,5269.62,0.108,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,ROOF,ROOF,3317.48652,4428.97,33.504,ACCEPTED,,BOTH PU (+1111.51),[DATA] PROD FREEZER 2.3 METER ROOF/FLOOR PU: 4.51 sheets x R557.50 (R2.5k) where Burt has 2.98 x R311.27 (R1.4k): +R1.1k per panel under PU.
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,FLOOR,FLOOR,5758.930537,6870.43,19.3,ACCEPTED,,BOTH PU (+1111.51),[DATA] PROD FREEZER 2.3 METER ROOF/FLOOR PU: 4.51 sheets x R557.50 (R2.5k) where Burt has 2.98 x R311.27 (R1.4k): +R1.1k per panel under PU.
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,ALUMINIUM,ALUMINIUM,3327.4538,3327.45,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,SUB FRAME + LIGHT BOX ASSY,SUB FRAME + LIGHT BOX ASSY,2806.306579,2806.31,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,REAR FRAME + FLOOR PLATE,REAR FRAME & FLOOR PLATE,2249.351114,2312.6,2.812,ACCEPTED,,PRICE_DIFF 3MM 3CR12 FLOOR PLATE (+63.25),"[DATA] 3MM 3CR12 FLOOR PLATE priced R1 040.16 on prod vs R965.76 on Burt's sheet (+R63, 2.8 % of the section) on FREEZER 2.3 METER."
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~all_pu"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,all_pu,1.8,1.68,1.39,SPRAY PAINTING,SPRAY PAINTING,750.0,750.0,0.0,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~srd"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,srd,1.8,1.68,1.39,FRONT,FRONT,2701.525496,2701.51,0.001,PASS,,,
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~srd"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,srd,1.8,1.68,1.39,SRD,SRD,2953.413166,25840.15,774.925,ACCEPTED,,BOTH PU (+22946.75),"[MES] PROD: the single-rear-door PU line is priced at the raw 32D rate — 1.22*2.44*2 sheets x R4 100 = R24.4k — where Burt has R245/sheet (R1.5k): +R23k on every SRD quote, on every body (chillers, freezers, icecream, explosive). Largest live-quote error found."
"UP_TO_2,3_MTR_FREEZER~L1.8~W1.68~H1.39~srd"," UP TO 2,3 MTR FREEZER ",19,FREEZER 2.3 METER,srd,1.8,1.68,1.39,SRD DOOR FITTINGS,SRD DOOR FITTINGS,4655.01232,5470.87,17.526,ACCEPTED,,PRICE_DIFF SILPLUS X WHITE SILICONE (+390.27),"[DATA] SRD DOOR FITTINGS on every body: MES CSLB HINGES R293.46 x2 (Excel R146.73 x2 - the pair price applied per hinge) and SILPLUS X WHITE R232.30 (Excel R116.15); per body also 34MM LOCKING POLE, 28782 BIG HORIZ CAPPING, ALU CORNERS, 28780/28778 BIG VERTICAL."
