scenario_id,sheet,trailer_id,trailer_name,variant,length,width,height,section_excel,section_mes,excel_total,mes_total,variance_pct,status,reason,likely_cause,accepted_reason
"ICECREAM_UP_TO_3,2~L2.4~W2.1~H2~as_sheet","icecream up to 3,2",16,ICECREAM BODY SMALL,as_sheet,2.4,2.1,2.0,FRONT,FRONT,4313.126743,4313.1,0.001,PASS,,,
"ICECREAM_UP_TO_3,2~L2.4~W2.1~H2~as_sheet","icecream up to 3,2",16,ICECREAM BODY SMALL,as_sheet,2.4,2.1,2.0,SRD,,0.0,,,SKIP,,,
"ICECREAM_UP_TO_3,2~L2.4~W2.1~H2~as_sheet","icecream up to 3,2",16,ICECREAM BODY SMALL,as_sheet,2.4,2.1,2.0,SRD DOOR FITTINGS,,0.0,,,SKIP,,,
"ICECREAM_UP_TO_3,2~L2.4~W2.1~H2~as_sheet","icecream up to 3,2",16,ICECREAM BODY SMALL,as_sheet,2.4,2.1,2.0,DRD,DRD,5448.993893,5682.97,4.294,ACCEPTED,,GROUP_DIFF 130*62MM TAPPING BLOCKS ~ 1 MES line(s) (-805.72),[DATA] 130*62MM TAPPING BLOCKS: on prod the icecream and EXPLOSIVE 4.9 AND UP bodies price them differently from Burt (missing or one size only); the chillers/freezers match.
"ICECREAM_UP_TO_3,2~L2.4~W2.1~H2~as_sheet","icecream up to 3,2",16,ICECREAM BODY SMALL,as_sheet,2.4,2.1,2.0,DRD DOOR FITTINGS,DRD DOOR FITTINGS,5301.60678,5301.61,0.0,PASS,,,
"ICECREAM_UP_TO_3,2~L2.4~W2.1~H2~as_sheet","icecream up to 3,2",16,ICECREAM BODY SMALL,as_sheet,2.4,2.1,2.0,SIDES,SIDES,9907.506064,9907.45,0.001,PASS,,,
"ICECREAM_UP_TO_3,2~L2.4~W2.1~H2~as_sheet","icecream up to 3,2",16,ICECREAM BODY SMALL,as_sheet,2.4,2.1,2.0,ROOF,ROOF,5128.06818,5128.03,0.001,PASS,,,
"ICECREAM_UP_TO_3,2~L2.4~W2.1~H2~as_sheet","icecream up to 3,2",16,ICECREAM BODY SMALL,as_sheet,2.4,2.1,2.0,FLOOR,FLOOR,9021.659641,22683.72,151.436,ACCEPTED,,EXTRA_IN_MES ALU EXTRUTION FLOOR (+13662.06),"[MES] master ALU EXTRUTION FLOOR defaults ON for ICECREAM UP TO 3,2 and UP TO 4.8 and adds R13k-R27k (13 x length m at R428.95); Burt's sheets have no such line or flag."
"ICECREAM_UP_TO_3,2~L2.4~W2.1~H2~as_sheet","icecream up to 3,2",16,ICECREAM BODY SMALL,as_sheet,2.4,2.1,2.0,ALUMINIUM,ALUMINIUM,5165.769,5197.83,0.621,PASS,,,
"ICECREAM_UP_TO_3,2~L2.4~W2.1~H2~as_sheet","icecream up to 3,2",16,ICECREAM BODY SMALL,as_sheet,2.4,2.1,2.0,SUB FRAME + LIGHT BOX ASSY,SUB FRAME + LIGHT BOX ASSY,3035.374104,3035.37,0.0,PASS,,,
