class,sheet,row,section,desc_old,desc_new,price_old,price_new,note
REFUSED (Michael's ruling),Manni RIGIDS CB,31,FRONT,RHINO PANEL,RHINO PANEL,272.27,263.65,
REFUSED (Michael's ruling),Manni RIGIDS CB,32,FRONT,PU INJECTION,PU INJECTION,56.61904761904762,56.61904761904762,
REFUSED (Michael's ruling),Manni RIGIDS CB,33,FRONT,FRIDGE FRAME LVL,FRIDGE FRAME LVL,130.54545454545453,148.72727272727272,
REFUSED (Michael's ruling),Manni RIGIDS CB,34,FRONT,58MM PICTURE FRAME,58MM PICTURE FRAME,130.54545454545453,148.72727272727272,
REFUSED (Michael's ruling),Manni RIGIDS CB,35,FRONT,Rhinotex Bioshield,Rhinotex Bioshield,267.84,272.27,
REFUSED (Michael's ruling),Manni RIGIDS CB,43,SRD,WOVEX SKIN,WOVEX SKIN,272.27,263.65,
REFUSED (Michael's ruling),Manni RIGIDS CB,45,SRD,WOVEX SKIN,WOVEX SKIN,267.84,272.27,
REFUSED (Michael's ruling),Manni RIGIDS CB,54,DOOR FITTINGS,28779 DOOR CAPPING,28779 DOOR CAPPING,149.08,149.08,
REFUSED (Michael's ruling),Manni RIGIDS CB,55,DOOR FITTINGS,28777 DOOR CAPPING,28777 DOOR CAPPING,132.13,132.13,
REFUSED (Michael's ruling),Manni RIGIDS CB,56,DOOR FITTINGS,2316 DOOR RUBBER,2316 DOOR RUBBER,24.72,24.72,
REFUSED (Michael's ruling),Manni RIGIDS CB,57,DOOR FITTINGS,2317 DOOR RUBBER,2317 DOOR RUBBER,60.18,60.18,
REFUSED (Michael's ruling),Manni RIGIDS CB,75,DRD,RHINO PANEL,RHINO PANEL,272.27,263.65,
REFUSED (Michael's ruling),Manni RIGIDS CB,76,DRD,PU INJECTION,PU INJECTION,56.61904761904762,56.61904761904762,
REFUSED (Michael's ruling),Manni RIGIDS CB,77,DRD,Rhinotex Bioshield,Rhinotex Bioshield,267.84,272.27,
REFUSED (Michael's ruling),Manni RIGIDS CB,86,DOOR FITTINGS,28779 DOOR CAPPING,28779 DOOR CAPPING,149.08,149.08,
REFUSED (Michael's ruling),Manni RIGIDS CB,87,DOOR FITTINGS,28777 DOOR CAPPING,28777 DOOR CAPPING,132.13,132.13,
REFUSED (Michael's ruling),Manni RIGIDS CB,88,DOOR FITTINGS,2316 DOOR RUBBER,2316 DOOR RUBBER,24.72,24.72,
REFUSED (Michael's ruling),Manni RIGIDS CB,89,DOOR FITTINGS,2317 DOOR RUBBER,2317 DOOR RUBBER,60.18,60.18,
REFUSED (Michael's ruling),Manni RIGIDS CB,103,SIDES,WOVEX SKIN,WOVEX SKIN,272.27,263.65,
REFUSED (Michael's ruling),Manni RIGIDS CB,104,SIDES,PU INJECTION,PU INJECTION,56.61904761904762,56.61904761904762,
REFUSED (Michael's ruling),Manni RIGIDS CB,105,SIDES,LVL BOTTOM BEAM,LVL BOTTOM BEAM,130.54545454545453,148.72727272727272,
REFUSED (Michael's ruling),Manni RIGIDS CB,106,SIDES,WOVEX SKIN,WOVEX SKIN,267.84,272.27,
REFUSED (Michael's ruling),Manni RIGIDS CB,113,ROOF,WOVEX SKIN,WOVEX SKIN,240.09,213.11,
REFUSED (Michael's ruling),Manni RIGIDS CB,114,ROOF,PU INJECTION,PU INJECTION,56.61904761904762,56.61904761904762,
REFUSED (Michael's ruling),Manni RIGIDS CB,115,ROOF,WOVEX SKIN,WOVEX SKIN,267.84,272.27,
REFUSED (Michael's ruling),Manni RIGIDS CB,122,FLOOR,WOVEX SKIN,WOVEX SKIN,272.27,222.76,
REFUSED (Michael's ruling),Manni RIGIDS CB,124,FLOOR,PLYWOOD,PLYWOOD,725,735,
REFUSED (Michael's ruling),Manni RIGIDS CB,125,FLOOR,18MM FINN PLY FLOOR,18MM FINN PLY FLOOR,667.7852348993289,375.83892617449663,
REFUSED (Michael's ruling),Manni RIGIDS CB,126,FLOOR,12MM FINN PLY FLOOR,12MM FINN PLY FLOOR,1055,798,
REFUSED (Michael's ruling),Manni RIGIDS CB,132,FLOOR,76*50 LVL BEAMS,76*50 LVL BEAMS,130.54545454545453,148.72727272727272,
REFUSED (Michael's ruling),Manni RIGIDS CB,133,FLOOR,2*300 INT LAMINATION,2*300 INT LAMINATION,100.30799999999999,50.153999999999996,
REFUSED (Michael's ruling),Manni Bakkie Rigids,31,FRONT,RHINO PANEL,RHINO PANEL,272.27,263.65,
REFUSED (Michael's ruling),Manni Bakkie Rigids,33,FRONT,FRIDGE FRAME LVL,FRIDGE FRAME LVL,130.54545454545453,148.72727272727272,
REFUSED (Michael's ruling),Manni Bakkie Rigids,34,FRONT,EVAPORATOR LVL BEAMS IN ROOF,EVAPORATOR LVL BEAMS IN ROOF,130.54545454545453,148.72727272727272,
REFUSED (Michael's ruling),Manni Bakkie Rigids,35,FRONT,Rhinotex Bioshield,Rhinotex Bioshield,267.84,272.27,
REFUSED (Michael's ruling),Manni Bakkie Rigids,43,SRD,WOVEX SKIN,WOVEX SKIN,272.27,263.65,
REFUSED (Michael's ruling),Manni Bakkie Rigids,45,SRD,WOVEX SKIN,WOVEX SKIN,267.84,272.27,
REFUSED (Michael's ruling),Manni Bakkie Rigids,75,DRD,RHINO PANEL,RHINO PANEL,272.27,263.65,
REFUSED (Michael's ruling),Manni Bakkie Rigids,77,DRD,Rhinotex Bioshield,Rhinotex Bioshield,267.84,272.27,
REFUSED (Michael's ruling),Manni Bakkie Rigids,103,SIDES,WOVEX SKIN,WOVEX SKIN,272.27,263.65,
REFUSED (Michael's ruling),Manni Bakkie Rigids,105,SIDES,LVL BOTTOM BEAM,LVL BOTTOM BEAM,130.54545454545453,148.72727272727272,
REFUSED (Michael's ruling),Manni Bakkie Rigids,106,SIDES,WOVEX SKIN,WOVEX SKIN,267.84,272.27,
REFUSED (Michael's ruling),Manni Bakkie Rigids,113,ROOF,WOVEX SKIN,WOVEX SKIN,240.09,222.76,
REFUSED (Michael's ruling),Manni Bakkie Rigids,115,ROOF,WOVEX SKIN,WOVEX SKIN,267.84,272.27,
REFUSED (Michael's ruling),Manni Bakkie Rigids,122,FLOOR,WOVEX SKIN,WOVEX SKIN,240.09,222.76,
REFUSED (Michael's ruling),Manni Bakkie Rigids,124,FLOOR,6MM PHENOL PLY FLOOR,6MM PHENOL PLY FLOOR,95.63758389261746,86.57718120805369,
REFUSED (Michael's ruling),Manni Bakkie Rigids,125,FLOOR,6MM FINN PLY FLOOR,6MM FINN PLY FLOOR,234.73154362416108,171.14093959731542,
REFUSED (Michael's ruling),Manni Bakkie Rigids,131,FLOOR,76(50)*50 LVL BEAMS,76(50)*50 LVL BEAMS,112.45283018867924,106.79245283018868,
REFUSED (Michael's ruling),Manni Bakkie Rigids,132,FLOOR,2*300 INT LAMINATION,2*300 INT LAMINATION,100.30799999999999,50.153999999999996,
REFUSED (Michael's ruling),Manni RIGIDS FB,31,FRONT,RHINO PANEL,RHINO PANEL,272.27,193.11,
REFUSED (Michael's ruling),Manni RIGIDS FB,32,FRONT,PU INJECTION,PU INJECTION,56.61904761904762,56.61904761904762,
REFUSED (Michael's ruling),Manni RIGIDS FB,33,FRONT,FRIDGE FRAME LVL,FRIDGE FRAME LVL,130.54545454545453,148.72727272727272,
REFUSED (Michael's ruling),Manni RIGIDS FB,34,FRONT,Rhinotex Bioshield,Rhinotex Bioshield,267.84,0,
REFUSED (Michael's ruling),Manni RIGIDS FB,42,SRD,WOVEX SKIN,WOVEX SKIN,272.27,193.11,
REFUSED (Michael's ruling),Manni RIGIDS FB,44,SRD,WOVEX SKIN,WOVEX SKIN,267.84,0,
REFUSED (Michael's ruling),Manni RIGIDS FB,53,DOOR FITTINGS,28779 DOOR CAPPING,28779 DOOR CAPPING,149.08,149.08,
REFUSED (Michael's ruling),Manni RIGIDS FB,54,DOOR FITTINGS,28777 DOOR CAPPING,28777 DOOR CAPPING,132.13,132.13,
REFUSED (Michael's ruling),Manni RIGIDS FB,55,DOOR FITTINGS,2316 DOOR RUBBER,2316 DOOR RUBBER,24.72,24.72,
REFUSED (Michael's ruling),Manni RIGIDS FB,56,DOOR FITTINGS,2317 DOOR RUBBER,2317 DOOR RUBBER,60.18,60.18,
REFUSED (Michael's ruling),Manni RIGIDS FB,74,DRD,RHINO PANEL,RHINO PANEL,272.27,193.11,
REFUSED (Michael's ruling),Manni RIGIDS FB,75,DRD,PU INJECTION,PU INJECTION,56.61904761904762,56.61904761904762,
REFUSED (Michael's ruling),Manni RIGIDS FB,76,DRD,Rhinotex Bioshield,Rhinotex Bioshield,267.84,0,
REFUSED (Michael's ruling),Manni RIGIDS FB,85,DOOR FITTINGS,28779 DOOR CAPPING,28779 DOOR CAPPING,149.08,149.08,
REFUSED (Michael's ruling),Manni RIGIDS FB,86,DOOR FITTINGS,28777 DOOR CAPPING,28777 DOOR CAPPING,132.13,132.13,
REFUSED (Michael's ruling),Manni RIGIDS FB,87,DOOR FITTINGS,2316 DOOR RUBBER,2316 DOOR RUBBER,24.72,24.72,
REFUSED (Michael's ruling),Manni RIGIDS FB,88,DOOR FITTINGS,2317 DOOR RUBBER,2317 DOOR RUBBER,60.18,60.18,
REFUSED (Michael's ruling),Manni RIGIDS FB,102,SIDES,WOVEX SKIN,WOVEX SKIN,272.27,193.11,
REFUSED (Michael's ruling),Manni RIGIDS FB,103,SIDES,PU INJECTION,PU INJECTION,56.61904761904762,56.61904761904762,
REFUSED (Michael's ruling),Manni RIGIDS FB,104,SIDES,LVL BOTTOM BEAM,LVL BOTTOM BEAM,130.54545454545453,148.72727272727272,
REFUSED (Michael's ruling),Manni RIGIDS FB,105,SIDES,WOVEX SKIN,WOVEX SKIN,267.84,0,
REFUSED (Michael's ruling),Manni RIGIDS FB,112,ROOF,WOVEX SKIN,WOVEX SKIN,240.09,193.11,
REFUSED (Michael's ruling),Manni RIGIDS FB,113,ROOF,PU INJECTION,PU INJECTION,56.61904761904762,56.61904761904762,
REFUSED (Michael's ruling),Manni RIGIDS FB,114,ROOF,WOVEX SKIN,WOVEX SKIN,267.84,0,
REFUSED (Michael's ruling),Manni RIGIDS FB,121,FLOOR,WOVEX SKIN,WOVEX SKIN,272.27,193.11,
REFUSED (Michael's ruling),Manni RIGIDS FB,123,FLOOR,PLYWOOD,PLYWOOD,725,735,
REFUSED (Michael's ruling),Manni RIGIDS FB,124,FLOOR,18MM FINN PLY FLOOR,18MM FINN PLY FLOOR,671.1409395973154,454.6979865771812,
REFUSED (Michael's ruling),Manni RIGIDS FB,125,FLOOR,12MM FINN PLY FLOOR,12MM FINN PLY FLOOR,1055,798,
REFUSED (Michael's ruling),Manni RIGIDS FB,126,FLOOR,RICE GRAIN FLOOR,RICE GRAIN FLOOR,3163.1493506493507,3163.1493506493507,
REFUSED (Michael's ruling),Manni RIGIDS FB,127,FLOOR,ALU KICK PLATES,ALU KICK PLATES,496.05,496.05,
REFUSED (Michael's ruling),Manni RIGIDS FB,131,FLOOR,76*50 LVL BEAMS,76*50 LVL BEAMS,130.54545454545453,148.72727272727272,
REFUSED (Michael's ruling),Manni RIGIDS FB,132,FLOOR,2*300 INT LAMINATION,2*300 INT LAMINATION,100.30799999999999,50.153999999999996,
REFUSED (Michael's ruling),Manni RIGIDS FB,133,FLOOR,ANTI-SKID FINAL COAT,ANTI-SKID FINAL COAT,45.821999999999996,45.821999999999996,
REFUSED (Michael's ruling),Manni TRAILERS,31,FRONT,Rhinopanel V2,Crystex V2,272.27,272.27,
REFUSED (Michael's ruling),Manni TRAILERS,33,FRONT,FRIDGE FRAME,FRIDGE FRAME,130.54545454545453,148.72727272727272,
REFUSED (Michael's ruling),Manni TRAILERS,34,FRONT,58MM PICTURE FRAME,58MM PICTURE FRAME,130.54545454545453,148.72727272727272,
REFUSED (Michael's ruling),Manni TRAILERS,35,FRONT,Bioshield 4800,Rhinotex 2100 Bioshield,295.39,295.39,
REFUSED (Michael's ruling),Manni TRAILERS,51,SRD,Rhinopanel V2,Crystex V2,272.27,272.27,
REFUSED (Michael's ruling),Manni TRAILERS,53,SRD,Bioshiled 4800,Rhinotex 2100 Bioshield,295.39,295.39,
REFUSED (Michael's ruling),Manni TRAILERS,83,DRD,Rhinopanel V2,Crystex V2,272.27,272.27,
REFUSED (Michael's ruling),Manni TRAILERS,85,DRD,Bioshield 4800,Rhinitex 2100 Bioshield,295.39,295.39,
REFUSED (Michael's ruling),Manni TRAILERS,111,SIDES,Rhinopanel V2,Crystex V2,272.27,272.27,
REFUSED (Michael's ruling),Manni TRAILERS,113,SIDES,LVL BOTTOM BEAM,LVL BOTTOM BEAM,130.54545454545453,148.72727272727272,
REFUSED (Michael's ruling),Manni TRAILERS,114,SIDES,Bioshield 4800,Rhinotex 2100 Bioshield,295.39,295.39,
REFUSED (Michael's ruling),Manni TRAILERS,121,ROOF,Rhinotex 2400,Rhinotex 1150 BW,240.09,213.11,
REFUSED (Michael's ruling),Manni TRAILERS,123,ROOF,Bioshield 4800,Rhinotex 2100 Bioshield,295.39,295.39,
REFUSED (Michael's ruling),Manni TRAILERS,130,FLOOR,Rhinotex 2400,Rhinotex 1150 BW,272.27,213.11,
REFUSED (Michael's ruling),Manni TRAILERS,132,FLOOR,PLYWOOD,PLYWOOD,725,735,
REFUSED (Michael's ruling),Manni TRAILERS,133,FLOOR,18MM FINN PLY FLOOR,18MM FINN PLY FLOOR,671.1409395973154,454.6979865771812,
