body,active,old_total,new_total,delta_r,delta_pct,old_total_4g,new_total_4g,delta_r_4g,delta_pct_4g
ADV VACUUM PANELS,True,40023586.01,40057246.37,33660.36,0.08,40037230.09,40069160.62,31930.53,0.08
ADVANTICA BODY,False,552097.77,549958.92,-2138.85,-0.39,552097.77,549958.92,-2138.85,-0.39
CHESTER SPEC MEAT BODY,True,209760.45,256954.02,47193.57,22.5,218269.7,266551.06,48281.36,22.12
CHILLER 2.3 METER,True,46445.01,45904.11,-540.9,-1.16,46445.01,45904.11,-540.9,-1.16
CHILLER LARGE,True,123688.11,114771.07,-8917.04,-7.21,123688.11,114771.07,-8917.04,-7.21
CHILLER MEDIUM,True,95252.2,90210.15,-5042.05,-5.29,95252.2,90210.15,-5042.05,-5.29
DRY FREIGHT TRAILER,True,233525.84,212704.8,-20821.04,-8.92,241639.72,219789.98,-21849.74,-9.04
EXPLOSIVE 2.7 TO 4.8,True,156787.46,149876.69,-6910.77,-4.41,161423.99,153736.22,-7687.77,-4.76
EXPLOSIVE 4.9 AND UP,True,269774.09,257414.6,-12359.49,-4.58,277645.16,263952.86,-13692.3,-4.93
EXPLOSIVE UP TO 2.7,True,63199.51,61834.12,-1365.39,-2.16,65065.29,63383.97,-1681.32,-2.58
FREEZER 2.3 METER,True,46502.55,45014.85,-1487.7,-3.2,48695.11,46836.15,-1858.96,-3.82
FREEZER LARGE,True,180487.22,171496.55,-8990.67,-4.98,189843.4,179268.48,-10574.92,-5.57
FREEZER MEDIUM,True,154797.98,145473.69,-9324.29,-6.02,161776.96,151270.95,-10506.01,-6.49
GRP TRAILERS,True,298083.59,302820.91,4737.32,1.59,314038.86,321831.59,7792.73,2.48
ICECREAM 4.9 UP,True,156311.56,144343.19,-11968.37,-7.66,170516.72,156143.07,-14373.65,-8.43
"ICECREAM UP TO 3,2",True,90300.5,87689.54,-2610.96,-2.89,97120.84,93354.99,-3765.85,-3.88
ICECREAM UP TO 4.8,True,147587.78,141171.6,-6416.18,-4.35,160637.51,152011.67,-8625.84,-5.37
MEAT HANGER LARGE,True,161050.6,154039.0,-7011.6,-4.35,170406.79,161810.91,-8595.88,-5.04
MEAT HANGER SMALL-MEDIUM,True,124687.64,121504.87,-3182.77,-2.55,124687.64,121504.87,-3182.77,-2.55
RHINORANGE TRAILER,True,351334.97,340838.9,-10496.07,-2.99,382530.97,365877.36,-16653.61,-4.35
RIGID DRY FREIGHT,True,252575.89,240288.11,-12287.78,-4.86,252575.89,240288.11,-12287.78,-4.86
TAUT LINER RIGID,True,1035025.2,1035806.19,780.99,0.08,1035025.2,1035806.19,780.99,0.08
