kind,sheet,row,trailer,section,bom_id,desc_before,desc_after,eff_before,eff_after,override_before,override_after,override_reset,override_provenance,material_before,material_after,mat_disposition,pu_rule,manifest_price_old,drift_note
LINE_UPDATE,Adv Vacuum panels,140,ADV VACUUM PANELS,FLOOR,74,PLYWOOD,PLYWOOD,725.0,735.0,,,False,,484,NEW#0,REPOINT_CREATED,,725.0,
LINE_UPDATE,Adv Vacuum panels,141,ADV VACUUM PANELS,FLOOR,75,18MM FINN PLY FLOOR,18MM FINN PLY FLOOR,486.577,1120.0,,,False,,279,NEW#1,REPOINT_CREATED,,1990.0,DB was 486.577 vs Aug sheet 1990.0 (pre-existing drift)
LINE_UPDATE,Adv Vacuum panels,142,ADV VACUUM PANELS,FLOOR,76,12MM FINN PLY FLOOR,12MM FINN PLY FLOOR,1055.0,798.0,,,False,,485,NEW#2,REPOINT_CREATED,,1055.0,
LINE_UPDATE,Adv Vacuum panels,147,ADV VACUUM PANELS,FLOOR,81,LVL BEAMS,LVL BEAMS,359.0,409.0,,,False,,466,466,IN_PLACE,,359.0,
LINE_UPDATE,Adv Vacuum panels,35,ADV VACUUM PANELS,FRONT,6,LVL PICTURE FRAME,LVL PICTURE FRAME,359.0,409.0,,,False,,459,459,IN_PLACE,,359.0,
LINE_UPDATE,Adv Vacuum panels,36,ADV VACUUM PANELS,FRONT,7,LVL PICTURE FRAME,LVL PICTURE FRAME,359.0,409.0,,,False,,459,459,IN_PLACE,,359.0,
LINE_UPDATE,Adv Vacuum panels,127,ADV VACUUM PANELS,ROOF,66,LVL FRAME,LVL FRAME,359.0,409.0,,,False,,464,464,IN_PLACE,,359.0,
LINE_UPDATE,Adv Vacuum panels,114,ADV VACUUM PANELS,SIDES,58,LVL FRAME,LVL FRAME,359.0,409.0,,,False,,462,462,IN_PLACE,,359.0,
LINE_UPDATE,ADVANTICA BODY,101,ADVANTICA BODY,FLOOR,176,PLYWOOD,PLYWOOD,725.0,735.0,,,False,,484,NEW#0,REPOINT_CREATED,,725.0,
LINE_UPDATE,ADVANTICA BODY,102,ADVANTICA BODY,FLOOR,177,18MM FINN PLY FLOOR,18MM FINN PLY FLOOR,486.577,375.83892617449663,,,False,,279,NEW#4,REPOINT_CREATED,,667.7852348993289,DB was 486.577 vs Aug sheet 667.7852348993289 (pre-existing drift)
LINE_UPDATE,ADVANTICA BODY,103,ADVANTICA BODY,FLOOR,178,12MM FINN PLY FLOOR,12MM FINN PLY FLOOR,1055.0,798.0,,,False,,485,NEW#2,REPOINT_CREATED,,1055.0,
LINE_UPDATE,ADVANTICA BODY,109,ADVANTICA BODY,FLOOR,184,LVL BEAM,LVL BEAM,359.0,409.0,,,False,,280,280,IN_PLACE,,358.99999999999994,
LINE_UPDATE,ADVANTICA BODY,32,ADVANTICA BODY,FRONT,142,FRIDGE FRAME,FRIDGE FRAME,130.545,148.72727272727272,,,False,,265,NEW#3,REPOINT_CREATED,,130.54545454545453,
LINE_UPDATE,ADVANTICA BODY,33,ADVANTICA BODY,FRONT,143,LVL BOTTOM BEAM,LVL BOTTOM BEAM,130.545,148.72727272727272,,,False,,266,266,IN_PLACE,,130.54545454545453,
LINE_UPDATE,ADVANTICA BODY,81,ADVANTICA BODY,SIDES,166,LVL BOTTOM BEAM,LVL BOTTOM BEAM,130.545,148.72727272727272,,,False,,274,266,REPOINT_EXISTING,,130.54545454545453,
LINE_UPDATE,CHESTER SPEC MEAT BODY,75,CHESTER SPEC MEAT BODY,DRD,1183,EXT GRP SKIN 2*300,EXT GRP SKIN 2*300,264.37,263.65,,,False,,99,NEW#22,REPOINT_CREATED,,272.27,DB was 264.37 vs Aug sheet 272.27 (pre-existing drift)
PU_COVERED,CHESTER SPEC MEAT BODY,78,CHESTER SPEC MEAT BODY,DRD,1186,PU,PU,352.12,245.73583892617447,,245.73583892617447,False,,209,209,UNCHANGED,PU-32D(new override),258.3223087248322,DB was 352.12 vs Aug sheet 258.3223087248322
LINE_UPDATE,CHESTER SPEC MEAT BODY,80,CHESTER SPEC MEAT BODY,DRD,1188,6MM PF PLYWOOD,6MM PF PLYWOOD,95.6376,86.57718120805369,,,False,,331,NEW#17,REPOINT_CREATED,,95.63758389261746,
LINE_UPDATE,CHESTER SPEC MEAT BODY,82,CHESTER SPEC MEAT BODY,DRD,1190,INT GRP SKIN 1*450,INT GRP SKIN 1*450,282.53,272.27,,,False,,103,NEW#20,REPOINT_CREATED,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
PU_COVERED,CHESTER SPEC MEAT BODY,141,CHESTER SPEC MEAT BODY,FLOOR,1228,PU,PU,523.937,409.5597315436242,,409.5597315436242,False,,236,236,UNCHANGED,PU-32D(new override),430.5371812080537,DB was 523.937 vs Aug sheet 430.5371812080537
LINE_UPDATE,CHESTER SPEC MEAT BODY,24,CHESTER SPEC MEAT BODY,FRONT,1148,EXT GRP SKIN 2*450,EXT GRP SKIN 2*450,264.37,263.65,,,False,,318,NEW#16,REPOINT_CREATED,,272.27,DB was 264.37 vs Aug sheet 272.27 (pre-existing drift)
PU_COVERED,CHESTER SPEC MEAT BODY,27,CHESTER SPEC MEAT BODY,FRONT,1151,PU,PU,352.12,245.73583892617447,,245.73583892617447,False,,207,207,UNCHANGED,PU-32D(new override),258.3223087248322,DB was 352.12 vs Aug sheet 258.3223087248322
LINE_UPDATE,CHESTER SPEC MEAT BODY,29,CHESTER SPEC MEAT BODY,FRONT,1153,6MM PF PLYWOOD,6MM PF PLYWOOD,95.6376,86.57718120805369,,,False,,327,NEW#17,REPOINT_CREATED,,95.63758389261746,
LINE_UPDATE,CHESTER SPEC MEAT BODY,31,CHESTER SPEC MEAT BODY,FRONT,1155,100*62 PICTURE FRAME,100*62 PICTURE FRAME,36.3205,37.28646144505161,,,False,,330,NEW#19,REPOINT_CREATED,,38.09979477838494,DB was 36.3205 vs Aug sheet 38.09979477838494 (pre-existing drift)
LINE_UPDATE,CHESTER SPEC MEAT BODY,32,CHESTER SPEC MEAT BODY,FRONT,1156,INT GRP SKIN 1*450,INT GRP SKIN 1*450,282.53,272.27,,,False,,98,NEW#20,REPOINT_CREATED,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE,CHESTER SPEC MEAT BODY,124,CHESTER SPEC MEAT BODY,ROOF,1216,EXT GRP SKIN 2*300,EXT GRP SKIN 2*300,282.53,272.27,,,False,,177,290,REPOINT_EXISTING,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
PU_COVERED,CHESTER SPEC MEAT BODY,127,CHESTER SPEC MEAT BODY,ROOF,1219,PU,PU,157.599,409.5597315436242,,409.5597315436242,False,,213,213,UNCHANGED,PU-32D(new override),430.5371812080537,DB was 157.599 vs Aug sheet 430.5371812080537
LINE_UPDATE,CHESTER SPEC MEAT BODY,130,CHESTER SPEC MEAT BODY,ROOF,1222,6MM PF PLYWOOD,6MM PF PLYWOOD,95.64,258.0,,,False,,335,NEW#18,REPOINT_CREATED,,285.0,DB was 95.64 vs Aug sheet 285.0 (pre-existing drift)
LINE_UPDATE,CHESTER SPEC MEAT BODY,132,CHESTER SPEC MEAT BODY,ROOF,1224,INT GRP SKIN 2*450,INT GRP SKIN 2*450,282.53,272.27,,,False,,336,NEW#27,REPOINT_CREATED,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE,CHESTER SPEC MEAT BODY,133,CHESTER SPEC MEAT BODY,ROOF,1225,94MM PICTURE FRAME,94MM PICTURE FRAME,42.4329,44.40719477838495,,,False,,195,319,REPOINT_EXISTING,,45.22052811171828,DB was 42.4329 vs Aug sheet 45.22052811171828 (pre-existing drift)
LINE_UPDATE,CHESTER SPEC MEAT BODY,108,CHESTER SPEC MEAT BODY,SIDES,1205,EXT GRP SKIN 2*450,EXT GRP SKIN 2*450,264.37,263.65,,,False,,320,NEW#16,REPOINT_CREATED,,272.27,DB was 264.37 vs Aug sheet 272.27 (pre-existing drift)
PU_COVERED,CHESTER SPEC MEAT BODY,111,CHESTER SPEC MEAT BODY,SIDES,1208,PU,PU,352.12,245.73583892617447,,245.73583892617447,False,,211,211,UNCHANGED,PU-32D(new override),258.3223087248322,DB was 352.12 vs Aug sheet 258.3223087248322
LINE_UPDATE,CHESTER SPEC MEAT BODY,113,CHESTER SPEC MEAT BODY,SIDES,1210,60*50 LVL BEAMS,60*50 LVL BEAMS,128.674,409.0,,,False,,332,NEW#23,REPOINT_CREATED,,359.0,DB was 128.674 vs Aug sheet 359.0 (pre-existing drift)
LINE_UPDATE,CHESTER SPEC MEAT BODY,114,CHESTER SPEC MEAT BODY,SIDES,1211,4MM PF PLYWOOD,4MM PF PLYWOOD,95.6376,258.0,,,False,,121,NEW#24,REPOINT_CREATED,,285.0,DB was 95.6376 vs Aug sheet 285.0 (pre-existing drift)
LINE_UPDATE,CHESTER SPEC MEAT BODY,116,CHESTER SPEC MEAT BODY,SIDES,1213,INT GRP SKIN1*450,INT GRP SKIN1*450,282.53,272.27,,,False,,333,NEW#25,REPOINT_CREATED,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE,CHESTER SPEC MEAT BODY,117,CHESTER SPEC MEAT BODY,SIDES,1214,58MM PICTURE FRAME,58MM PICTURE FRAME,36.3205,37.28646144505161,,,False,,235,NEW#26,REPOINT_CREATED,,38.09979477838494,DB was 36.3205 vs Aug sheet 38.09979477838494 (pre-existing drift)
LINE_UPDATE,CHESTER SPEC MEAT BODY,38,CHESTER SPEC MEAT BODY,SRD,1157,EXT GRP SKIN 2*450,EXT GRP SKIN 2*450,223.0,263.65,,,False,,663,NEW#16,REPOINT_CREATED,,272.27,DB was 223.0 vs Aug sheet 272.27 (pre-existing drift)
LINE_UPDATE,CHESTER SPEC MEAT BODY,43,CHESTER SPEC MEAT BODY,SRD,1162,6MM PF PLYWWOD,6MM PF PLYWWOD,95.6376,86.57718120805369,,,False,,664,NEW#21,REPOINT_CREATED,,95.63758389261746,
LINE_UPDATE,CHESTER SPEC MEAT BODY,45,CHESTER SPEC MEAT BODY,SRD,1164,INT GRP SKIN 1*450,INT GRP SKIN 1*450,282.53,272.27,,,False,,294,NEW#20,REPOINT_CREATED,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE,UP TO 2.3 CHILLER BODY,36,CHILLER 2.3 METER,DRD,3720,EXT GRP SKIN 2*300,Rhinotex 1150 BW,264.37,213.11,,,False,,99,125,REPOINT_EXISTING,,272.27,DB was 264.37 vs Aug sheet 272.27 (pre-existing drift)
LINE_UPDATE,UP TO 2.3 CHILLER BODY,76,CHILLER 2.3 METER,DRD,3725,INT GRP SKIN 2*300,Rhinotex 1150 Bioshield,282.53,222.76,,,False,,174,174,IN_PLACE,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE,UP TO 2.3 CHILLER BODY,115,CHILLER 2.3 METER,FLOOR,3756,EXT GRP SKIN 2*300,Rhinotex 1150 BW,282.53,213.11,,,False,,131,125,REPOINT_EXISTING,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE,UP TO 2.3 CHILLER BODY,133,CHILLER 2.3 METER,FLOOR,3761,9MM PF PLYWOOD,9MM PF PLYWOOD,124.16,112.75167785234899,124.16,,True,,196,NEW#52,REPOINT_CREATED,,124.16107382550335,
LINE_UPDATE,UP TO 2.3 CHILLER BODY,135,CHILLER 2.3 METER,FLOOR,3763,100*50 timber,100*50 LVL Beam,128.674,146.59498207885304,,,False,,136,NEW#50,REPOINT_CREATED,,128.67383512544802,
