trailer,section,material,override_price,material_price,bom_id
CHILLER 2.3 METER,ALUMINIUM,28782 BIG HORIZONTALE CAP,203.25,203.25,3769
CHILLER 2.3 METER,ALUMINIUM,28780 SMALL VERTICAL,149.08,203.25,3770
CHILLER 2.3 METER,ALUMINIUM,SMALL ALU CORNERS,43.92,45.0,3773
CHILLER 2.3 METER,DRD,EPS,135.96,127.72,3722
CHILLER 2.3 METER,DRD DOOR FITTINGS,28779 DOOR CAPPING,149.08,149.08,3729
CHILLER 2.3 METER,DRD DOOR FITTINGS,28777 DOOR CAPPING,132.13,108.3,3730
CHILLER 2.3 METER,DRD DOOR FITTINGS,SILPLUS X WHITE SILICONE,116.15,116.15,3736
CHILLER 2.3 METER,FLOOR,EPS,156.56,156.56,3758
CHILLER 2.3 METER,FRONT,EPS,135.96,127.72,3691
CHILLER 2.3 METER,REAR FRAME & FLOOR PLATE,TOP FRAME RAIN GUTTER,965.76,365.76,3784
CHILLER 2.3 METER,REAR FRAME & FLOOR PLATE,SILPLUS X-WHITE,116.15,348.45,3786
CHILLER 2.3 METER,REAR FRAME & FLOOR PLATE,2771-0824 MONOBOLTS,3.65,3.65,3791
CHILLER 2.3 METER,ROOF,EPS,156.56,156.56,3750
CHILLER 2.3 METER,ROOF,3MM MILD STEEL PLATE,95.46,95.4633,3755
CHILLER 2.3 METER,SIDES,EPS,135.96,127.72,3742
CHILLER 2.3 METER,SIDES,3MM MILD STEEL PLATE,95.46,95.4633,3747
CHILLER 2.3 METER,SPRAY PAINTING,PAINTING OF SUB FRAME + REAR FRAME,750.0,750.0,3792
CHILLER 2.3 METER,SRD DOOR FITTINGS,28779 DOOR CAPPING,149.08,122.2,3705
CHILLER 2.3 METER,SRD DOOR FITTINGS,28777 DOOR CAPPING,132.13,108.3,3706
CHILLER 2.3 METER,SRD DOOR FITTINGS,28781 SMALL HORIZ CAPPING,203.25,197.2,3713
CHILLER 2.3 METER,SRD DOOR FITTINGS,28780 SMALL VERTICAL,149.08,203.25,3714
