sheet,section,row,desc_old,desc_new,price_old,price_new,total_old,total_new,desc_changed,price_changed,total_changed,highlighted
Adv Vacuum panels,FRONT,35,LVL PICTURE FRAME,LVL PICTURE FRAME,359,409,3913.1,4458.1,False,True,True,False
Adv Vacuum panels,FRONT,36,LVL PICTURE FRAME,LVL PICTURE FRAME,359,409,2943.7999999999997,3353.7999999999997,False,True,True,False
Adv Vacuum panels,SRD,49,130*62MM TAPPING BLOCKS,130*62MM TAPPING BLOCKS,,,408,468,False,False,True,False
Adv Vacuum panels,DRD,84,130*62MM TAPPING BLOCKS,130*62MM TAPPING BLOCKS,,,816,936,False,False,True,False
Adv Vacuum panels,SIDES,114,LVL FRAME,LVL FRAME,359,409,13175.300000000001,15010.300000000001,False,True,True,False
Adv Vacuum panels,ROOF,127,LVL FRAME,LVL FRAME,359,409,12995.800000000001,14805.800000000001,False,True,True,False
Adv Vacuum panels,FLOOR,140,PLYWOOD,PLYWOOD,725,735,0,0,False,True,False,False
Adv Vacuum panels,FLOOR,141,18MM FINN PLY FLOOR,18MM FINN PLY FLOOR,1990,1120,66830.83333333334,37613.333333333336,False,True,True,False
Adv Vacuum panels,FLOOR,142,12MM FINN PLY FLOOR,12MM FINN PLY FLOOR,1055,798,0,0,False,True,False,False
Adv Vacuum panels,FLOOR,147,LVL BEAMS,LVL BEAMS,359,409,42741.8115942029,48694.710144927536,False,True,True,False
ADVANTICA BODY,FRONT,32,FRIDGE FRAME,FRIDGE FRAME,130.54545454545453,148.72727272727272,1135.7454545454543,1293.9272727272726,False,True,True,False
ADVANTICA BODY,FRONT,33,LVL BOTTOM BEAM,LVL BOTTOM BEAM,130.54545454545453,148.72727272727272,339.4181818181818,386.6909090909091,False,True,True,False
ADVANTICA BODY,SIDES,81,LVL BOTTOM BEAM,LVL BOTTOM BEAM,130.54545454545453,148.72727272727272,763.5677530017152,869.9142367066895,False,True,True,False
ADVANTICA BODY,FLOOR,101,PLYWOOD,PLYWOOD,725,735,0,0,False,True,False,False
ADVANTICA BODY,FLOOR,102,18MM FINN PLY FLOOR,18MM FINN PLY FLOOR,667.7852348993289,375.83892617449663,26911.74496644296,15146.308724832215,False,True,True,False
ADVANTICA BODY,FLOOR,103,12MM FINN PLY FLOOR,12MM FINN PLY FLOOR,1055,798,0,0,False,True,False,False
ADVANTICA BODY,FLOOR,109,LVL BEAM,LVL BEAM,358.99999999999994,409,13683.196721311473,15588.934426229509,False,True,True,False
Manni RIGIDS CB,FRONT,31,RHINO PANEL,RHINO PANEL,272.27,263.65,1779.90740376,1772.5948812000001,False,True,True,False
Manni RIGIDS CB,FRONT,32,PU INJECTION,PU INJECTION,56.61904761904762,56.61904761904762,1606.6515144952386,1247.933407809524,False,False,True,False
Manni RIGIDS CB,FRONT,33,FRIDGE FRAME LVL,FRIDGE FRAME LVL,130.54545454545453,148.72727272727272,1344.6181818181817,1531.8909090909092,False,True,True,False
Manni RIGIDS CB,FRONT,34,58MM PICTURE FRAME,58MM PICTURE FRAME,130.54545454545453,148.72727272727272,339.4181818181818,386.6909090909091,False,True,True,False
Manni RIGIDS CB,FRONT,35,Rhinotex Bioshield,Rhinotex Bioshield,267.84,272.27,1750.9472179200002,1830.5496237600003,False,True,True,False
Manni RIGIDS CB,SRD,43,WOVEX SKIN,WOVEX SKIN,272.27,263.65,1779.90740376,1772.5948812000001,False,True,True,False
Manni RIGIDS CB,SRD,45,WOVEX SKIN,WOVEX SKIN,267.84,272.27,1750.9472179200002,1830.5496237600003,False,True,True,False
Manni RIGIDS CB,DOOR FITTINGS,54,28779 DOOR CAPPING,28779 DOOR CAPPING,149.08,149.08,1025.07408,1032.22992,False,False,True,False
Manni RIGIDS CB,DOOR FITTINGS,55,28777 DOOR CAPPING,28777 DOOR CAPPING,132.13,132.13,796.21538,802.5576199999999,False,False,True,False
Manni RIGIDS CB,DOOR FITTINGS,56,2316 DOOR RUBBER,2316 DOOR RUBBER,24.72,24.72,169.97472,171.16127999999998,False,False,True,False
Manni RIGIDS CB,DOOR FITTINGS,57,2317 DOOR RUBBER,2317 DOOR RUBBER,60.18,60.18,413.79767999999996,416.68631999999997,False,False,True,False
Manni RIGIDS CB,DRD,75,RHINO PANEL,RHINO PANEL,272.27,263.65,1701.29434212,1679.2216518000002,False,True,True,False
Manni RIGIDS CB,DRD,76,PU INJECTION,PU INJECTION,56.61904761904762,56.61904761904762,1720.1138025908576,753.6836529200002,False,False,True,False
Manni RIGIDS CB,DRD,77,Rhinotex Bioshield,Rhinotex Bioshield,267.84,272.27,1673.61323904,1734.1235696400001,False,True,True,False
Manni RIGIDS CB,DOOR FITTINGS,86,28779 DOOR CAPPING,28779 DOOR CAPPING,149.08,149.08,1857.8349600000004,1875.7245600000003,False,False,True,False
Manni RIGIDS CB,DOOR FITTINGS,87,28777 DOOR CAPPING,28777 DOOR CAPPING,132.13,132.13,325.30406,328.47518,False,False,True,False
Manni RIGIDS CB,DOOR FITTINGS,88,2316 DOOR RUBBER,2316 DOOR RUBBER,24.72,24.72,308.06064000000003,311.02704,False,False,True,False
Manni RIGIDS CB,DOOR FITTINGS,89,2317 DOOR RUBBER,2317 DOOR RUBBER,60.18,60.18,749.9631600000001,757.1847600000001,False,False,True,False
Manni RIGIDS CB,SIDES,103,WOVEX SKIN,WOVEX SKIN,272.27,263.65,5027.46555,4915.75425,False,True,True,False
Manni RIGIDS CB,SIDES,104,PU INJECTION,PU INJECTION,56.61904761904762,56.61904761904762,4634.571676428572,2206.3338785714295,False,False,True,False
Manni RIGIDS CB,SIDES,105,LVL BOTTOM BEAM,LVL BOTTOM BEAM,130.54545454545453,148.72727272727272,979.090909090909,1115.4545454545455,False,True,True,False
Manni RIGIDS CB,SIDES,106,WOVEX SKIN,WOVEX SKIN,267.84,272.27,4945.665599999999,5076.474150000001,False,True,True,False
Manni RIGIDS CB,ROOF,113,WOVEX SKIN,WOVEX SKIN,240.09,213.11,4681.755,4155.645,False,True,True,False
Manni RIGIDS CB,ROOF,114,PU INJECTION,PU INJECTION,56.61904761904762,56.61904761904762,4894.348642857144,2307.509285714286,False,False,True,False
Manni RIGIDS CB,ROOF,115,WOVEX SKIN,WOVEX SKIN,267.84,272.27,5222.879999999999,5309.264999999999,False,True,True,False
Manni RIGIDS CB,FLOOR,122,WOVEX SKIN,WOVEX SKIN,272.27,222.76,5309.264999999999,4343.82,False,True,True,False
Manni RIGIDS CB,FLOOR,124,PLYWOOD,PLYWOOD,725,735,0,0,False,True,False,False
Manni RIGIDS CB,FLOOR,125,18MM FINN PLY FLOOR,18MM FINN PLY FLOOR,667.7852348993289,375.83892617449663,13021.812080536913,7328.859060402684,False,True,True,False
Manni RIGIDS CB,FLOOR,126,12MM FINN PLY FLOOR,12MM FINN PLY FLOOR,1055,798,0,0,False,True,False,False
Manni RIGIDS CB,FLOOR,132,76*50 LVL BEAMS,76*50 LVL BEAMS,130.54545454545453,148.72727272727272,6380.141579731742,7268.740685543964,False,True,True,False
Manni RIGIDS CB,FLOOR,133,2*300 INT LAMINATION,2*300 INT LAMINATION,100.30799999999999,50.153999999999996,5230.05912,2615.02956,False,True,True,False
Manni Bakkie Rigids,FRONT,31,RHINO PANEL,RHINO PANEL,272.27,263.65,746.2615757599999,722.6351212,False,True,True,False
Manni Bakkie Rigids,FRONT,33,FRIDGE FRAME LVL,FRIDGE FRAME LVL,130.54545454545453,148.72727272727272,417.74545454545455,475.92727272727274,False,True,True,False
Manni Bakkie Rigids,FRONT,34,EVAPORATOR LVL BEAMS IN ROOF,EVAPORATOR LVL BEAMS IN ROOF,130.54545454545453,148.72727272727272,469.96363636363634,535.4181818181818,False,True,True,False
Manni Bakkie Rigids,FRONT,35,Rhinotex Bioshield,Rhinotex Bioshield,267.84,272.27,734.11944192,746.2615757599999,False,True,True,False
Manni Bakkie Rigids,SRD,43,WOVEX SKIN,WOVEX SKIN,272.27,263.65,746.2615757599999,722.6351212,False,True,True,False
Manni Bakkie Rigids,SRD,45,WOVEX SKIN,WOVEX SKIN,267.84,272.27,734.11944192,746.2615757599999,False,True,True,False
Manni Bakkie Rigids,DRD,75,RHINO PANEL,RHINO PANEL,272.27,263.65,704.12942688,681.8368655999999,False,True,True,False
Manni Bakkie Rigids,DRD,77,Rhinotex Bioshield,Rhinotex Bioshield,267.84,272.27,692.6728089599999,704.12942688,False,True,True,False
Manni Bakkie Rigids,SIDES,103,WOVEX SKIN,WOVEX SKIN,272.27,263.65,931.8168479999998,902.3157599999998,False,True,True,False
Manni Bakkie Rigids,SIDES,105,LVL BOTTOM BEAM,LVL BOTTOM BEAM,130.54545454545453,148.72727272727272,300.2545454545454,342.0727272727272,False,True,True,False
Manni Bakkie Rigids,SIDES,106,WOVEX SKIN,WOVEX SKIN,267.84,272.27,916.6556159999998,931.8168479999998,False,True,True,False
Manni Bakkie Rigids,ROOF,113,WOVEX SKIN,WOVEX SKIN,240.09,222.76,993.9725999999999,922.2263999999999,False,True,True,False
Manni Bakkie Rigids,ROOF,115,WOVEX SKIN,WOVEX SKIN,267.84,272.27,1108.8575999999998,1127.1978,False,True,True,False
Manni Bakkie Rigids,FLOOR,122,WOVEX SKIN,WOVEX SKIN,240.09,222.76,993.9725999999999,922.2263999999999,False,True,True,False
Manni Bakkie Rigids,FLOOR,124,6MM PHENOL PLY FLOOR,6MM PHENOL PLY FLOOR,95.63758389261746,86.57718120805369,0,0,False,True,False,False
Manni Bakkie Rigids,FLOOR,125,6MM FINN PLY FLOOR,6MM FINN PLY FLOOR,234.73154362416108,171.14093959731542,971.7885906040268,708.5234899328858,False,True,True,False
Manni Bakkie Rigids,FLOOR,131,76(50)*50 LVL BEAMS,76(50)*50 LVL BEAMS,112.45283018867924,106.79245283018868,1353.2131147540981,1285.0983606557375,False,True,True,False
Manni Bakkie Rigids,FLOOR,132,2*300 INT LAMINATION,2*300 INT LAMINATION,100.30799999999999,50.153999999999996,0,0,False,True,False,False
Manni RIGIDS FB,FRONT,31,RHINO PANEL,RHINO PANEL,272.27,193.11,1768.90333944,1252.6597684800001,False,True,True,False
Manni RIGIDS FB,FRONT,32,PU INJECTION,PU INJECTION,56.61904761904762,56.61904761904762,1596.2102373904763,1593.5999181142859,False,False,True,False
Manni RIGIDS FB,FRONT,33,FRIDGE FRAME LVL,FRIDGE FRAME LVL,130.54545454545453,148.72727272727272,1344.6181818181817,1531.8909090909092,False,True,True,False
